"id","category","surface","current_signature","disposition","target_contract","target_phase","owner","requirements","evidence","migration_guidance"
"CFG-008","config","config.export.auto_gitignore","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-009","config","config.export.directory","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-010","config","config.export.format","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-011","config","config.export.include_metadata","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-012","config","config.git.auto_commit","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-013","config","config.git.commit_template","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-014","config","config.github.enabled","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-015","config","config.github.owner","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-016","config","config.github.repo","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-017","config","config.github.repository","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-018","config","config.github.sync_backend","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-019","config","config.github.sync_enabled","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-020","config","config.github.sync_settings","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-021","config","config.github.webhook_secret","YAML dotted key","Remove","Absent from Roadmap configuration; Git owns remotes, credentials, transport, and automatic Git policy.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Move Git behavior and credentials to native Git configuration or credential helpers; no Roadmap sync/provider setting is migrated."
"CFG-022","config","config.output.columns","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-023","config","config.output.format","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-024","config","config.output.sort_by","YAML dotted key","Preserve","Retain as an explicitly typed user or project setting; bootstrap resolves it once and injects a narrow immutable value.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py",""
"CFG-025","config","config.paths.db_dir","YAML dotted key","Remove","Use the fixed repository-local .roadmap layout and platform-standard user locations.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Remove machine-specific path overrides; move canonical data to .roadmap and user preferences to the documented platform location."
"CFG-026","config","config.paths.logs_dir","YAML dotted key","Remove","Use the fixed repository-local .roadmap layout and platform-standard user locations.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Remove machine-specific path overrides; move canonical data to .roadmap and user preferences to the documented platform location."
"CFG-027","config","config.paths.roadmap_dir","YAML dotted key","Remove","Use the fixed repository-local .roadmap layout and platform-standard user locations.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Remove machine-specific path overrides; move canonical data to .roadmap and user preferences to the documented platform location."
"CFG-028","config","config.user.email","YAML dotted key","Replace","Map to the typed user-preference schema; never store credentials or machine paths in project configuration.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Phase 9 migration moves recognized values to their declared user scope."
"CFG-029","config","config.user.name","YAML dotted key","Replace","Map to the typed user-preference schema; never store credentials or machine paths in project configuration.","Phase 9","Maintainer","UR-016; TR-019","roadmap/adapters/outbound/persistence/configuration.py; roadmap/adapters/outbound/persistence/migration.py","Phase 9 migration moves recognized values to their declared user scope."
"CAN-001","legacy-canonical","legacy-canonical.issue.id","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-002","legacy-canonical","legacy-canonical.issue.title","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-003","legacy-canonical","legacy-canonical.issue.headline","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-004","legacy-canonical","legacy-canonical.issue.priority","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-005","legacy-canonical","legacy-canonical.issue.status","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-006","legacy-canonical","legacy-canonical.issue.archived","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-007","legacy-canonical","legacy-canonical.issue.issue_type","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-008","legacy-canonical","legacy-canonical.issue.milestone","0.1.1 model/frontmatter field","Replace","Replace name-based relationship storage with complete stable target IDs.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py","Phase 9 migration preserves user meaning and existing IDs while rewriting the relationship or reference representation."
"CAN-009","legacy-canonical","legacy-canonical.issue.labels","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-010","legacy-canonical","legacy-canonical.issue.remote_ids","0.1.1 model/frontmatter field","Replace","Replace provider-keyed mappings with ordinary optional external references.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py","Phase 9 migration preserves user meaning and existing IDs while rewriting the relationship or reference representation."
"CAN-011","legacy-canonical","legacy-canonical.issue.created","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-012","legacy-canonical","legacy-canonical.issue.updated","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-013","legacy-canonical","legacy-canonical.issue.assignee","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-014","legacy-canonical","legacy-canonical.issue.content","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-015","legacy-canonical","legacy-canonical.issue.estimated_hours","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-016","legacy-canonical","legacy-canonical.issue.due_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-017","legacy-canonical","legacy-canonical.issue.depends_on","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-018","legacy-canonical","legacy-canonical.issue.blocks","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-019","legacy-canonical","legacy-canonical.issue.actual_start_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-020","legacy-canonical","legacy-canonical.issue.actual_end_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-021","legacy-canonical","legacy-canonical.issue.progress_percentage","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-022","legacy-canonical","legacy-canonical.issue.handoff_notes","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-023","legacy-canonical","legacy-canonical.issue.previous_assignee","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-024","legacy-canonical","legacy-canonical.issue.handoff_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-025","legacy-canonical","legacy-canonical.issue.git_branches","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-026","legacy-canonical","legacy-canonical.issue.git_commits","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-027","legacy-canonical","legacy-canonical.issue.completed_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-028","legacy-canonical","legacy-canonical.issue.comments","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-029","legacy-canonical","legacy-canonical.issue.file_path","0.1.1 model/frontmatter field","Internal","Runtime adapter detail; never a canonical or public field.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-030","legacy-canonical","legacy-canonical.issue.github_sync_metadata","0.1.1 model/frontmatter field","Remove","Do not write provider synchronization state to canonical 0.2 documents.","Phases 4-7","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py","Migration discards provider reconciliation metadata after preserving any useful URL or ID as an ordinary external reference."
"CAN-031","legacy-canonical","legacy-canonical.milestone.name","0.1.1 model/frontmatter field","Replace","Introduce a stable opaque milestone ID while retaining the user-facing name.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py","Phase 9 migration preserves user meaning and existing IDs while rewriting the relationship or reference representation."
"CAN-032","legacy-canonical","legacy-canonical.milestone.headline","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-033","legacy-canonical","legacy-canonical.milestone.content","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-034","legacy-canonical","legacy-canonical.milestone.due_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-035","legacy-canonical","legacy-canonical.milestone.status","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-036","legacy-canonical","legacy-canonical.milestone.archived","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-037","legacy-canonical","legacy-canonical.milestone.github_milestone","0.1.1 model/frontmatter field","Remove","Do not write provider synchronization state to canonical 0.2 documents.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py","Migration discards provider reconciliation metadata after preserving any useful URL or ID as an ordinary external reference."
"CAN-038","legacy-canonical","legacy-canonical.milestone.created","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-039","legacy-canonical","legacy-canonical.milestone.updated","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-040","legacy-canonical","legacy-canonical.milestone.project_id","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-041","legacy-canonical","legacy-canonical.milestone.calculated_progress","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-042","legacy-canonical","legacy-canonical.milestone.last_progress_update","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-043","legacy-canonical","legacy-canonical.milestone.completion_velocity","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-044","legacy-canonical","legacy-canonical.milestone.risk_level","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-045","legacy-canonical","legacy-canonical.milestone.actual_start_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-046","legacy-canonical","legacy-canonical.milestone.actual_end_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-047","legacy-canonical","legacy-canonical.milestone.comments","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-048","legacy-canonical","legacy-canonical.milestone.file_path","0.1.1 model/frontmatter field","Internal","Runtime adapter detail; never a canonical or public field.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-049","legacy-canonical","legacy-canonical.project.id","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-050","legacy-canonical","legacy-canonical.project.name","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-051","legacy-canonical","legacy-canonical.project.headline","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-052","legacy-canonical","legacy-canonical.project.content","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-053","legacy-canonical","legacy-canonical.project.status","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-054","legacy-canonical","legacy-canonical.project.priority","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-055","legacy-canonical","legacy-canonical.project.owner","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-056","legacy-canonical","legacy-canonical.project.start_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-057","legacy-canonical","legacy-canonical.project.target_end_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-058","legacy-canonical","legacy-canonical.project.actual_end_date","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-059","legacy-canonical","legacy-canonical.project.created","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-060","legacy-canonical","legacy-canonical.project.updated","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-061","legacy-canonical","legacy-canonical.project.milestones","0.1.1 model/frontmatter field","Replace","Replace name-based relationship storage with complete stable target IDs.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py","Phase 9 migration preserves user meaning and existing IDs while rewriting the relationship or reference representation."
"CAN-062","legacy-canonical","legacy-canonical.project.estimated_hours","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-063","legacy-canonical","legacy-canonical.project.actual_hours","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-064","legacy-canonical","legacy-canonical.project.repo_url","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-065","legacy-canonical","legacy-canonical.project.calculated_progress","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-066","legacy-canonical","legacy-canonical.project.last_progress_update","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-067","legacy-canonical","legacy-canonical.project.projected_end_date","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-068","legacy-canonical","legacy-canonical.project.schedule_variance","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-069","legacy-canonical","legacy-canonical.project.completion_velocity","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-070","legacy-canonical","legacy-canonical.project.risk_level","0.1.1 model/frontmatter field","Internal","Derived projection/view value recalculated from canonical entities.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-071","legacy-canonical","legacy-canonical.project.comments","0.1.1 model/frontmatter field","Preserve","Retain semantic value and round-trip it through the versioned canonical document.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN-072","legacy-canonical","legacy-canonical.project.file_path","0.1.1 model/frontmatter field","Internal","Runtime adapter detail; never a canonical or public field.","Phases 4-8","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-001","canonical","canonical.issue.id","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-002","canonical","canonical.issue.created","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-003","canonical","canonical.issue.updated","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-004","canonical","canonical.issue.retention","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-005","canonical","canonical.issue.title","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-006","canonical","canonical.issue.headline","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-007","canonical","canonical.issue.content","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-008","canonical","canonical.issue.priority","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-009","canonical","canonical.issue.status","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-010","canonical","canonical.issue.issue_type","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-011","canonical","canonical.issue.relations","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-012","canonical","canonical.issue.labels","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-013","canonical","canonical.issue.assignee","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
"CAN2-014","canonical","canonical.issue.estimated_hours","0.2 domain aggregate field","Preserve","Retain the aggregate field and round-trip it through versioned canonical documents.","Phase 12","Maintainer","TR-002; TR-020; TR-030","roadmap/domain/aggregates.py",""
